行政區,機構名稱,地址,電話,分機,手機,開放時間,位置指引,基本設備,友善設備或服務,優良哺集乳室認證效期,輪椅使用,貼心小提醒
63000010,臺北市政府社會局早療通報及轉介中心,臺北市松山區民生東路5段163-1號,(02)27568852,轉 106,,週一至週五 09:30~17:00,7樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市松山區戶政事務所,臺北市松山區八德路4段692號,(02)27533043,轉 517,,週一至週五 08:30~17:30,5樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,臺北市政府民政局民生社區中心,臺北市松山區民生東路5段163-1號,(02)27666959,,,週一至週日 08:00~22:00,4樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,需洽1樓警衛室或8樓民政局開門。
63000010,臺北市立松山幼兒園,臺北市松山區敦化北路5號,(02)27153544,轉 15,,週一至週五 08:30~17:30,2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市立圖書館民生分館,臺北市松山區敦化北路5號,(02)27138083,,,週二至週六 08:30~21:00,4樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,臺北田徑場,臺北市松山區敦化北路3號,(02)25702330,轉 6520,,週一至週五 08:00~17:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,微風置地股份有限公司南京分公司,臺北市松山區南京東路3段337號,(02)66000999,轉 3528,,週一至週日 11:00~22:00,地下1樓醫護室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,臺北市松山區公所,臺北市松山區八德路4段692號,(02)87878787,轉 166,,週一至週五 08:30~17:30,7樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市松山運動中心,臺北市松山區敦化北路1號,(02)66176789,轉 215,,週一至週日 06:00~22:00,1樓女更衣室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市立圖書館中崙分館,臺北市松山區長安東路2段229號,(02)87736858,,,"1.週二至週六 08:30~21:00
2.週日、週一 09:00~17:00",7樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,"1.需先至服務台登記。
2.經政府公告之放假日為休館日；每月第一個星期四為圖書整理清潔日，不對外開放。"
63000010,臺北大眾捷運股份有限公司-南京復興站,臺北市松山區南京東路3段253號,(02)25505600,轉5182,,週一至週日 06:00~22:00,B2西側大廳,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,臺北市松山親子館,臺北市松山區民生東路5段163-1號,(02)276612665,轉 108,,"1.週二至週五 09:30~12:00；14:00~17:00
2.週六、週日 09:30~11:00；13:00~14:30；15:30~17:00",3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,兄弟大飯店,臺北市松山區南京東路3段255號,(02)27123456,,,週一至週日 09:00-21:00,12樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,CITYLINK-松山貳號店(潤泰百益股份有限公司),臺北市松山區市民大道6段131號,(02)25281115,,,週一至週日 11:00-22:00,3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市政府警察局保安警察大隊,臺北市松山區延壽街339號,(02)27629228,,,24小時開放,"1樓東側
側門入口處",靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市松山南港婦女支持培力中心,臺北市松山區南京東路5段5號,(02)27685256,,,"週二至週六 9:00~18:00
週三13:00~21:00",7樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市藝文推廣處,臺北市松山區八德路3段25號,(02)25775931,轉351,,週二至週日09:00~17:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市藝文推廣處-城市舞台,臺北市松山區八德路3段25號,(02)25775931,轉2104,,節目演出時間開放,B1,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27642151,轉672715,,周一至周五08:00~21:30,"翔醫大樓
一樓",靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日 05:30~22:30,國際線2樓外候機室,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日 05:30~22:30,國際線1樓內候機室行李提領旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日 05:30~22:30,國內線1樓外候機室行李託運旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日 05:30~22:30,國內線1樓內候機室安檢查驗旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日 05:30~22:30,國內線2樓內候機室10號登機門前,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日 05:30~22:30,國際線2樓內候機室昇恆昌賣店旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日 05:30~22:30,國際線2樓國際線入境廊道,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日05:30~22:30,國內線1樓外候機室廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,
63000010,交通部民用航空局臺北國際航空站,臺北市松山區敦化北路340號,(02)87703424,,,週一至週日05:30~22:30,國內線1樓外候機室廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000020,臺北市政府(第一哺集乳室)(公管處),臺北市信義區市府路1號,(02)27208889,轉8640,,"週一至週五
8:30-17:30",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市政府(第二哺集乳室)(公管處),臺北市信義區市府路1號,(02)27208889,轉8640,,"週一至週五
8:30-17:30",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市議會,臺北市信義區仁愛路4段507號,(02)27297708,轉4202,,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市信義區健康服務中心,臺北市信義區福德街86號,(02)27234598,轉6171,,"週一至週五
8:30-17:30",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市信義區公所,臺北市信義區福德街86號,(02)27239777,轉706,,"週一至週五
8:30-17:30",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市信義區公所,臺北市信義區福德街86號,(02)27239777,轉707,,"週一至週五
8:30-17:30",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市信義區戶政事務所,臺北市信義區福德街86號,(02)27233977,轉303,,"週一至週五
8:30-17:30",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市松山地政事務所,臺北市信義區莊敬路2號,(02)27230711,轉405.406,,"週一至週五
8:30-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市動物保護處,臺北市信義區吳興街109號,(02)87897158,轉7155,,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市政府警察局婦幼警察隊,臺北市信義區信義路5段108號,(02)27592398,轉1607,,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,中國青年救國團臺北市信義運動中心,臺北市信義區松勤街100號,(02)87861911,轉238,,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,行政院公共工程委員會,臺北市信義區松仁路3號,(02)87897771,,,"週一至週五
8:00-17:00",1樓哺乳室,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,國軍退除役官兵輔導委員會,臺北市信義區忠孝東路5段222號,(02)27571373,轉785,,"週一至週五
8:00-17:00",1樓哺乳室,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,內政部警政署刑事警察局,臺北市信義區忠孝東路4段5號,(02)23219011,"轉7254574
(02)27678020",,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北世界貿易中心展覽大樓(世貿一館),臺北市信義區信義路5段5號,(02)27255200,轉2668,,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北世界貿易中心展覽大樓(世貿一館),臺北市信義區信義路5段5號,(02)27255200,轉2268,,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,(02)27263141,轉1139,,"週一至週日
全日24小時開放",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,自行前往旅客詢問處拿鑰匙，並登記
63000020,交通部臺灣鐵路管理局松山車站,臺北市信義區松山路11號,(02)27666323,"轉8303
27673819",,"週一至週日
全日24小時開放",站內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,自行前往旅客詢問處拿鑰匙，並登記
63000020,交通部臺灣鐵路管理局松山車站,臺北市信義區松山路11號,(02)27666323,"轉8303
27673819",,"週一至週日
全日24小時開放",站外,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,新光三越百貨股份有限公司信義二館,臺北市信義區松高路12號,(02)87809966,轉6409/6410,,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,新光三越百貨股份有限公司信義分公司A11館,臺北市信義區松壽路11號,(02)87801000,轉2309,,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",育嬰室,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市政府警察局信義分局,臺北市信義區信義路5段17號,(02)27234887,,,"週一至週五
8:00-17:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,統一開發股份有限公司,臺北市信義區忠孝東路5段6號,(02)27221166,轉6003,,"週一至週日
06:00-23:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,新光三越百貨股份有限公司信義三館,臺北市信義區松壽路9號,(02)87801000,轉7309,,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,台北金融大樓股份有限公司,臺北市信義區市府路45號,"(02)81019060
",,912462588,"週一至週五
11:00-21:30
週六、日
11:00-22:00",101大樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,台北金融大樓股份有限公司,臺北市信義區市府路45號,"(02)81019060
",,912462588,"週一至週五
11:00-21:30
週六、日
11:00-22:00",101大樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,寶麗廣場BELLAVITA,臺北市信義區松仁路28號,"(02)87292802
",,922499928,"週一至週五
10:30-22:00
週六、日
10:30-22:30",東北角,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,統一百華股份有限公司台北分公司,臺北市信義區忠孝東路5段8號,(02)27299699,轉2331,,"週日至週四
11:00~21:30
週五至週六
11:00~22:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,遠百企業股份有限公司忠孝店,臺北市信義區忠孝東路5段297號,"(02)25289388
",轉107或187,917546867,"週一至週日
11:00-22:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,松山文創園區,臺北市信義區光復南路133號,(02)27651388,轉112,,"週一至週日
11:00-22:00",,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,自行前往哺集乳室，並登記
63000020,臺北市立信義幼兒園,臺北市信義區基隆路1段24號,(02)27584138,轉17,,"週一至週五
8:00-17:00",圖書館室內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,自行前往哺集乳室，並登記
